12/03/21 10:03:03 2021 | 252.127.0.0:10036 | select @@version_comment limit 1
12/03/21 10:03:10 2021 | 252.127.0.0:10036 | select version()
12/03/21 10:03:24 2021 | 252.127.0.0:10036 | show databases
12/03/21 10:03:29 2021 | 252.127.0.0:10036 | sfdf
12/03/21 10:05:08 2021 | 252.127.0.0:7638 | select @@version_comment limit 1
12/03/21 10:05:45 2021 | 0.0.0.0:0 | select @@version_comment limit 1
12/03/21 10:05:52 2021 | 0.0.0.0:0 | select now()
12/03/21 10:11:29 2021 | 254.127.0.0:37403 | select @@version_comment limit 1
12/03/21 10:11:39 2021 | 254.127.0.0:37403 | select version()
12/03/21 10:26:40 2021 | 0.0.0.0:0 | select @@version_comment limit 1
12/03/21 10:26:49 2021 | 0.0.0.0:0 | select noer
12/03/21 10:26:59 2021 | 0.0.0.0:0 | select now()
12/03/21 10:28:15 2021 | 254.127.0.0:61805 | select @@version_comment limit 1
12/03/21 10:28:22 2021 | 254.127.0.0:61805 | select version()
12/03/21 10:29:48 2021 | 252.127.0.0:23848 | select @@version_comment limit 1
12/03/21 10:29:54 2021 | 252.127.0.0:23848 | select version()
12/03/21 10:30:03 2021 | 252.127.0.0:23848 | sdf
12/03/21 10:30:37 2021 | 252.127.0.0:23848 | select now()
12/03/21 10:31:05 2021 | 252.127.0.0:23848 | select @@version_comment limit 1
12/03/21 10:31:15 2021 | 252.127.0.0:23848 | select @@version_comment limit 1
12/03/21 10:31:24 2021 | 252.127.0.0:23848 | select version()
12/03/21 10:33:49 2021 | 252.127.0.0:20875 | select @@version_comment limit 1
12/03/21 10:41:04 2021 | 0.0.0.0:0 | select @@version_comment limit 1
